archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"acm-medisun-spf50-protector-solar-en-spray-200-ml-125487.webp","ACM MEDISUN SPF50+ PROTECTOR SOLAR EN SPRAY 200 ML","DERM-I00040","ACM Medisun Protector Solar Spray SPF50+ 200 ML","0.88"
"acm-sensitelial-ultra-rich-cleansing-gel-200-ml-gel-limpiad-123677.webp","ACM SENSITELIAL ULTRA RICH CLEANSING GEL 200 ML (GEL LIMPIAD","DERM-I00051","ACM Sensitelial Ultra Rich Cleansing GEL 200 ML","0.88"
"eucerin-ph5-advanced-repair-crema-hidratante-48h-450-ml-119708.webp","EUCERIN PH5 ADVANCED REPAIR CREMA HIDRATANTE 48H 450 ML","DERM-I00494","Eucerin PH5 Advanced Repair Crema 48H 450ML","0.88"
"isdin-fotoultra-100-active-unify-color-spf50-122455.webp","ISDIN FOTOULTRA 100 ACTIVE UNIFY COLOR SPF50+","DERM-I00685","Isdin Fotoultra 100 Active Unify Color Corrige SPF 50+","0.88"
"sesderma-factor-g-contorno-de-ojos-15-ml-105006.webp","SESDERMA FACTOR G CONTORNO DE OJOS 15 ML","DERM-I01110","Sesderma Factor G Renew Contorno DE Ojos 15 ML","0.88"
"acm-medisun-gel-matificante-spf50-40-ml-128217.webp","ACM MEDISUN GEL MATIFICANTE SPF50+ 40 ML","DERM-I00039","ACM Medisun GEL Matificante Solar SPF50+ 40ML","0.86"
"acm-novophane-locion-anti-caida-100-ml-104243.webp","ACM NOVOPHANE LOCION ANTI-CAIDA 100 ML","DERM-I00041","ACM Novophane Chronic Locion Anti Caida 100 ML","0.86"
"ducray-neoptide-expert-20-serum-anticaida-50-ml-127658.webp","DUCRAY NEOPTIDE EXPERT 20 SERUM ANTICAIDA 50 ML","DERM-I00408","Ducray Neoptide Expert Serum Anticaida 50 ML","0.86"
"avene-cleanance-aqua-gel-50-ml-131152.webp","AVENE CLEANANCE AQUA GEL 50 ML","DERM-I00123","Avene Cleanance Aqua GEL Matificante 50 ML","0.83"
"avene-cleanance-comedomed-secante-localizado-15-ml-125356.webp","AVENE CLEANANCE COMEDOMED SECANTE LOCALIZADO 15 ML","DERM-I00126","Avene Cleanance Comedomed Localizado 15ML","0.83"
"avene-hyaluron-activ-b3-ojos-15-ml-131100.webp","AVENE HYALURON ACTIV B3 OJOS 15 ML","DERM-I00142","Avene Hyaluron Activ B3 Ojos","0.83"
"filorga-ncef-night-mask-50-ml-crema-129719.webp","FILORGA NCEF-NIGHT MASK 50 ML CREMA","DERM-I00517","Filorga Ncef-night Mask 50 ML","0.83"
"filorga-time-filler-night-50-ml-crema-129725.webp","FILORGA TIME-FILLER NIGHT 50 ML CREMA","DERM-I00527","Filorga Time-filler Night Crema","0.83"
"isdin-hyaluronic-moisture-normal-50-g-135316.webp","ISDIN HYALURONIC MOISTURE NORMAL 50 G","DERM-I00699","Isdin Hyaluronic Moisture Piel Normal 50G","0.83"
"la-roche-posay-anthelios-mineral-tinted-spf-40-medium-50-ml-154047.webp","LA ROCHE POSAY ANTHELIOS MINERAL TINTED SPF 40 MEDIUM 50 ML","DERM-I00806","LA Roche-posay Anthelios Tinted Mineral Medium Light Fluid SPF 40 50 ML","0.82"
"la-roche-posay-toleriane-double-repair-moisturizer-uv-spf30-105848.webp","LA ROCHE-POSAY TOLERIANE DOUBLE REPAIR MOISTURIZER UV SPF30","DERM-I00847","LA Roche-posay Toleriane Double Repair UV Face Moisturizer SPF 30 100 ML","0.82"
"filorga-ncef-essence-150-ml-locion-129715.webp","FILORGA NCEF ESSENCE 150 ML LOCION","DERM-I00514","Filorga Ncef Essence 150 ML","0.8"
"filorga-optim-eyes-15-ml-serum-129716.webp","FILORGA OPTIM-EYES 15 ML SERUM","DERM-I00521","Filorga Optim-eyes 15 ML","0.8"
"isdinceutics-hyaluronic-concentrate-30-ml-serum-128803.webp","ISDINCEUTICS HYALURONIC CONCENTRATE 30 ML SERUM","DERM-I00712","Isdinceutics Hyaluronic Concentrate 30 ML","0.8"
"isispharma-neotone-intenso-serum-30-ml-121884.webp","ISISPHARMA NEOTONE INTENSO SERUM 30 ML","DERM-I00734","Isispharma Neotone Serum 30 ML","0.8"
