archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"acm-depiwhite-gel-contorno-de-ojos-15ml-104215.webp","ACM DEPIWHITE GEL CONTORNO DE OJOS 15ML.","DERM-I00017","ACM Depiwhite GEL Contorno DE Ojos","0.86"
"avene-dermabsolu-contorno-de-ojos-15-ml-crema-116816.webp","AVENE DERMABSOLU CONTORNO DE OJOS 15 ML CREMA","DERM-I00135","Avene Dermabsolu Contorno DE Ojos 15 ML","0.86"
"babe-stop-akn-200-ml-limpiador-purificante-23269.webp","BABE STOP AKN 200 ML LIMPIADOR PURIFICANTE","DERM-I00205","Babe Stop AKN GEL Limpiador Purificante 200 ML","0.86"
"babe-stop-akn-crema-hidratante-reparadora-50-ml-23356.webp","BABE STOP AKN CREMA HIDRATANTE REPARADORA 50 ML","DERM-I00207","Babe Stop AKN Hidratante Reparadora 50 ML","0.86"
"endocare-tensage-contorno-de-ojos-iluminador-15-ml-23267.webp","ENDOCARE TENSAGE CONTORNO DE OJOS ILUMINADOR 15 ML","DERM-I00440","Endocare Tensage Contorno DE Ojos Iluminador","0.86"
"isispharma-geneskin-c-premium-concentrado-iluminador-10-ml-117256.webp","ISISPHARMA GENESKIN C PREMIUM CONCENTRADO ILUMINADOR 10 ML","DERM-I00716","Isispharma Geneskin C Premium Concentrado Iluminador","0.86"
"sesderma-acglicolic-crema-gel-forte-50-ml-15351.webp","SESDERMA ACGLICOLIC CREMA GEL FORTE 50 ML","DERM-I01081","Sesderma Acglicolic Classic Crema GEL Forte 50 ML","0.86"
"sesderma-azelac-ru-liposomal-serum-despigmentante-30-ml-85898.webp","SESDERMA AZELAC RU LIPOSOMAL SERUM DESPIGMENTANTE 30 ML","DERM-I01090","Sesderma Azelac RU Liposomal Serum 30 ML","0.86"
"sesderma-c-vit-facial-liposomal-serum-30-ml-21605.webp","SESDERMA C-VIT FACIAL LIPOSOMAL SERUM 30 ML","DERM-I01097","Sesderma C-vit Liposomal Serum 30 ML","0.86"
"uriage-roseliane-cc-spf30-teinte-40-ml-crema-86595.webp","URIAGE ROSELIANE CC SPF30 TEINTE 40 ML CREMA","DERM-I01294","Uriage Roseliane CC Crema SPF 30 40 ML","0.86"
"a-derma-dermalibour-crema-reparadora-50-ml-108170.webp","A-DERMA DERMALIBOUR CREMA REPARADORA 50 ML","DERM-I00062","A-derma Dermalibour Crema 50ML","0.83"
"babe-4538-jabon-de-aceite-500-ml-20076.webp","BABE 4538 JABON DE ACEITE 500 ML","DERM-I00200","Babe Jabon DE Aceite 500 ML","0.83"
"sesderma-hidraderm-hyal-serum-facial-30-ml-88305.webp","SESDERMA HIDRADERM HYAL SERUM FACIAL 30 ML","DERM-I01118","Sesderma Hidraderm Hyal Serum 30 ML","0.83"
"uriage-hyseac-gel-nettoyant-150-ml-gel-limpiador-20179.webp","URIAGE HYSEAC GEL NETTOYANT 150 ML (GEL LIMPIADOR)","DERM-I01291","Uriage Hyseac GEL Nettoyant 150 ML","0.83"
"avene-agua-thermale-150-ml-spray-19576.webp","AVENE AGUA THERMALE 150 ML SPRAY","DERM-I00112","Avene Agua Thermale 150 ML","0.8"
"avene-agua-thermale-300-ml-spray-19577.webp","AVENE AGUA THERMALE 300 ML SPRAY","DERM-I00113","Avene Agua Thermale 300 ML","0.8"
"avene-cleanance-limpiador-200-ml-gel-19591.webp","AVENE CLEANANCE LIMPIADOR 200 ML GEL","DERM-I00129","Avene Cleanance GEL 200 ML","0.8"
"babe-4533-aloe-300-ml-gel-20067.webp","BABE 4533 ALOE 300 ML GEL","DERM-I00169","Babe Aloe GEL 300 ML","0.8"
"ducray-elution-shampoo-reequilibrante-200-ml-113794.webp","DUCRAY ELUTION SHAMPOO REEQUILIBRANTE 200 ML","DERM-I00390","Ducray Elution Shampoo 200 ML","0.8"
"uriage-eau-agua-thermale-300-ml-20183.webp","URIAGE EAU AGUA THERMALE 300 ML","DERM-I01275","Uriage EAU Thermale 300 ML","0.8"
"uriage-eau-thermale-water-150-ml-21996.webp","URIAGE EAU THERMALE WATER 150 ML","DERM-I01274","Uriage EAU Thermale 150 ML","0.8"
"sesderma-sesgen-32-facial-crema-activadora-celular-50-ml-22415.webp","SESDERMA SESGEN 32 FACIAL CREMA ACTIVADORA CELULAR 50 ML","DERM-I01157","Sesderma Sesgen 32 Crema Facial Activador Celular 50 ML","0.78"
"a-derma-exomega-control-crema-emollient-400-ml-21529.webp","A-DERMA EXOMEGA CONTROL CREMA EMOLLIENT 400 ML","DERM-I00067","A-derma Exomega Control Crema Emoliente 400 ML","0.75"
"a-derma-exomega-control-leche-emoliente-400-ml-105521.webp","A-DERMA EXOMEGA CONTROL LECHE EMOLIENTE 400 ML","DERM-I00067","A-derma Exomega Control Crema Emoliente 400 ML","0.75"
"acm-depiwhite-m-40-ml-crema-protectora-spf50-104227.webp","ACM DEPIWHITE. M 40 ML CREMA PROTECTORA SPF50+","DERM-I00021","ACM Depiwhite. M Crema Protectora 50+ 40ML","0.75"
"avene-a-oxitive-defense-antioxidante-30-ml-serum-113061.webp","AVENE A-OXITIVE DEFENSE ANTIOXIDANTE 30 ML SERUM","DERM-I00115","Avene A-oxitive Serum Defensa Antioxidante 30ML","0.75"
"endocare-contorno-de-ojos-y-labios-15-ml-85912.webp","ENDOCARE CONTORNO DE OJOS Y LABIOS 15 ML","DERM-I00434","Endocare Contorno DE Ojos Y Labios 15ML.","0.75"
"endocare-tensage-crema-30-ml-23250.webp","ENDOCARE TENSAGE CREMA 30 ML","DERM-I00441","Endocare Tensage Crema","0.75"
"endocare-tensage-serum-30-ml-20141.webp","ENDOCARE TENSAGE SERUM 30 ML","DERM-I00442","Endocare Tensage Serum","0.75"
"eucerin-10-urea-locion-corporal-piel-seca-250-ml-12265.webp","EUCERIN 10% UREA LOCION CORPORAL PIEL SECA 250 ML","DERM-I00509","Eucerin Urea 10% Locion Corporal 250 ML","0.75"
