sku,nombre,codigo_barras,marca,via_recomendada
"DERM-I00061","A-derma Dermalibour Barrier Crema 100 ML","3282770108729","A-DERMA","buscar o foto propia"
"DERM-I00064","A-derma Epitheliale A.H Ultra Reparador SPF 50 40ML","3282770209440","A-DERMA","buscar o foto propia"
"DERM-I00068","A-derma Exomega Control Emoliente 200 ML","","A-DERMA","buscar o foto propia"
"DERM-I00069","A-derma Exomega Control Emoliente Defi 200 ML","3282770073072","A-DERMA","buscar o foto propia"
"DERM-I00071","A-derma Exomega Control GEL Emoliente 2 EN 1 200 ML","3282770144116","A-DERMA","buscar o foto propia"
"DERM-I00072","A-derma Exomega Control GEL Emoliente 2 EN 1 500 ML","3282770144314","A-DERMA","buscar o foto propia"
"DERM-I00075","A-derma GEL Douche Hydra-protecteur 500 ML","3282770145908","A-DERMA","buscar o foto propia"
"DERM-I00001","Abravia Cetirizina 10 MG 10 Tabletas","7460082500233","ABRAVIA","buscar o foto propia"
"DERM-I00002","Abravia Jarabe 60 ML","7460082500240","ABRAVIA","buscar o foto propia"
"DERM-I00003","Aceite Rosa Mosqueta 118 ML","0851615006075","ACEITE","buscar o foto propia"
"DERM-I00004","Acido Hipocloroso Facial Cleanser Spray 236 ML","","ACIDO","buscar o foto propia"
"DERM-I00005","Acido Hipocloroso Spray 200 ML","","ACIDO","buscar o foto propia"
"DERM-I00008","ACM Boreade Global Emulsion Correctora Anti-imperfecciones 40 ML","3760095253893","ACM","sitio oficial de marca"
"DERM-I00013","ACM Cicastim Crema Reparadora Tubo 20 ML","3760095250540","ACM","sitio oficial de marca"
"DERM-I00023","ACM Desodorante Anti-transpirante Calmante Rosado 50ML","3760095254562","ACM","sitio oficial de marca"
"DERM-I00024","ACM Desodorante Anti-transpirante Fresco Azul 50ML","3760095254555","ACM","sitio oficial de marca"
"DERM-I00025","ACM Desodorante Anti-transpirante Intenso Rojo 50ML","3760095254579","ACM","sitio oficial de marca"
"DERM-I00031","ACM Duolys Crema Peeling Regenerante DE Noche AHA AL 10 40ML","3760095254852","ACM","sitio oficial de marca"
"DERM-I00034","ACM Duolys Mascarilla Exfoliante AHA AL 15 50ML","3760095254869","ACM","sitio oficial de marca"
"DERM-I00036","ACM Duolys Riche Anti-envejecimiento 40 ML","3760095252353","ACM","sitio oficial de marca"
"DERM-I00052","ACM Sensitelial Ultra Rich Dermatological Barra 100 GR","3760095253275","ACM","sitio oficial de marca"
"DERM-I00053","ACM Skintsugi Contorno DE Ojos 15 ML","8414719600178","ACM","sitio oficial de marca"
"DERM-I00054","ACM Skintsugi Crema Hidratante Iluminadora SPF 50 ML","8414719600055","ACM","sitio oficial de marca"
"DERM-I00055","ACM Skintsugi Jelly Soap Purifying Cleanser 150 ML","8414719600031","ACM","sitio oficial de marca"
"DERM-I00056","ACM Skintsugi Serum Revitalizante Lifting 5X2 ML","8414719600154","ACM","sitio oficial de marca"
"DERM-I00057","ACM Viticolor GEL Regulador Tubo 50 ML","3760095250083","ACM","sitio oficial de marca"
"DERM-I00076","Agrado Bruma Seca SPF 50+ 200 ML","8433295060756","AGRADO","buscar o foto propia"
"DERM-I00077","AID Unguento 30 MG","7468476300117","AID","buscar o foto propia"
"DERM-I00078","Akun 1 Barra","7467634171866","AKUN","buscar o foto propia"
"DERM-I00079","Akun 2 Barra","7467634171859","AKUN","buscar o foto propia"
"DERM-I00080","Akun 5 Barra","7467634171873","AKUN","buscar o foto propia"
"DERM-I00081","Alercet 10 MG","","ALERCET","buscar o foto propia"
"DERM-I00082","Alercet 10 MG ** Detalle **","7703153001742","ALERCET","buscar o foto propia"
"DERM-I00083","Alucal Sobres","7460082500080","ALUCAL","buscar o foto propia"
"DERM-I00084","Amplibiotic 500 MG","7467851052009","AMPLIBIOTIC","buscar o foto propia"
"DERM-I00085","Anthelios 60 Shaka Ultra Light Fluido","","ANTHELIOS","buscar o foto propia"
"DERM-I00086","Apartal Forte GEL Dermico","7401156645214","APARTAL","buscar o foto propia"
"DERM-I00087","APG Crema Renovadora Cuerpo","8022297025452","APG","buscar o foto propia"
"DERM-I00088","APG Desodorante Spray Laser","","APG","buscar o foto propia"
"DERM-I00089","APG Fluido Lenitivo Cara Laser","","APG","buscar o foto propia"
"DERM-I00090","Aquaphor Advanced Therapy 1.7 OZ","0072140452315","AQUAPHOR","buscar o foto propia"
"DERM-I00091","Aquaphor LIP Protectant Sunscreen SPF 30","0072140010119","AQUAPHOR","buscar o foto propia"
"DERM-I00092","Aquaphor LIP Repair Stick","0072140026493","AQUAPHOR","buscar o foto propia"
"DERM-I00093","Aquaphor Pasta Protector DE Piel","0072140031275","AQUAPHOR","buscar o foto propia"
"DERM-I00094","Aquaphor Reparador DE Labios","4005800268731","AQUAPHOR","buscar o foto propia"
"DERM-I00095","Argental Plus 15 G","7460347602849","ARGENTAL","buscar o foto propia"
"DERM-I00096","Artrait 10 MG 4 Comprimidos","7401156644316","ARTRAIT","buscar o foto propia"
"DERM-I00097","Artrait 15 MG","7401156644415","ARTRAIT","buscar o foto propia"
"DERM-I00098","Atache Balancing Cream I 50 ML","8430795002668","ATACHE","buscar o foto propia"
"DERM-I00099","Atache Balancing Cream II 50 ML","8430795002675","ATACHE","buscar o foto propia"
"DERM-I00100","Atache BE SUN Make Compacto Dore","8430795000688","ATACHE","buscar o foto propia"
"DERM-I00101","Atache C Vital Blast Antioxidante Velvet Serum 30 ML","8430795001258","ATACHE","buscar o foto propia"
"DERM-I00102","Atache Excellence Cellular BIO Repair Double Serum 30 ML","8430795000091","ATACHE","buscar o foto propia"
"DERM-I00103","Atache Lift Thepary Force Lift DAY DAY 50 ML","8430795001029","ATACHE","buscar o foto propia"
"DERM-I00104","Atache Lift Therapy Solution Crema","8430795001036","ATACHE","buscar o foto propia"
"DERM-I00105","Atache Postbiotic Salicylic Acid 30 ML","8430795002705","ATACHE","buscar o foto propia"
"DERM-I00107","Atache Vital AGE Wrinkle Attack Night Cream","8430795001135","ATACHE","buscar o foto propia"
"DERM-I00108","Aveeno Calm+restore Nourishing OAT Cleanser 232 ML","0381371191819","AVEENO","buscar o foto propia"
"DERM-I00109","Aveeno Calm+restore OAT GEL Moisturizer 48 G","0381371191840","AVEENO","buscar o foto propia"
"DERM-I00110","Aveeno Eczema Therapy 5 OZ","0381371151059","AVEENO","buscar o foto propia"
"DERM-I00111","Aveeno Tone + Texture Renewing Night Cream 8 OZ","","AVEENO","buscar o foto propia"
"DERM-I00116","Avene Cicalfate Balsamo Reparador Labios 10ML","3282770101263","AVENE","sitio oficial de marca"
"DERM-I00141","Avene Hyaluron Activ B3 Crema Regeneradora Celular DE DIA 30 ML.","3282770153170","AVENE","sitio oficial de marca"
"DERM-I00147","Avene Physiolift Noche","3282770049350","AVENE","sitio oficial de marca"
"DERM-I00148","Avene Physiolift Yeux - Ojos","3282770049381","AVENE","sitio oficial de marca"
